ID,FileBase,Species,Strain,LocusTag,BioSample,BioProject,Type
CBS372_39,P01-H04-CBS372x39,Syzygites megalocarpus,CBS 372.39,AAIE24,SAMN41113394,PRJNA1105921,No
CBS385_95,P01-A05-CBS385x95,Mucor endophyticus,CBS 385.95,AAIE25,SAMN41113428,PRJNA1105922,Yes
CBS388_35,P01-B05-CBS388x35,Mucor abundans,CBS 388.35,AAIE26,SAMN41113429,PRJNA1105923,Yes
CBS402_58,P01-B09-CBS402x58,Mucor moelleri f. californiensis,CBS 402.58,AAIE27,SAMN41113448,PRJNA1105925,Yes
CBS417_77,P01-C05-CBS417x77,Mucor parviseptatus,CBS 417.77,AAIE30,SAMN41113648,PRJNA1105937,No
CBS421_70,P01-D05-CBS421x70,Benjaminiella multispora,CBS 421.70,AAIE31,SAMN41113760,PRJNA1105939,Yes
CBS427_87,P01-E05-CBS427x87,Rhizopus caespitosus,CBS 427.87,AAIE32,SAMN41113767,PRJNA1105940,Yes
CBS526_68,P01-F05-CBS526x68,Mucor amethystinus,CBS 526.68,AAIE33,SAMN41113768,PRJNA1105941,Yes
CBS538_80,P01-G05-CBS538x80,Backusella gigaspora,CBS 538.80,AAIG50,SAMN41115389,PRJNA1106031,No
CBS540_78,P01-H05-CBS540x78,Mucor pseudolusitanicus,CBS 540.78,AAIE34,SAMN41113782,PRJNA1105945,No
CBS541_78,P01-A06-CBS541x78,Mucor pseudocircinelloides,CBS 541.78,AAIE36,SAMN41113783,PRJNA1105947,No
CBS564_66,P01-B06-CBS564x66,Backusella variabilis,CBS 564.66,AAIE37,SAMN41113784,PRJNA1105948,No
CBS566_91,P01-C06-CBS566x91,Mucor gigasporus,CBS 566.91,AAIE39,SAMN41113835,PRJNA1105949,No
CBS568_70,P01-D06-CBS568x70,Backusella oblongielliptica,CBS 568.70,AAIE41,SAMN41113869,PRJNA1105950,No
CBS569_70,P01-E06-CBS569x70,Backusella oblongispora,CBS 569.70,AAIE52,SAMN41114242,PRJNA1105967,No
CBS576_66,P01-F06-CBS576x66,Mucor strictus,CBS 576.66,AAIE56,SAMN41114243,PRJNA1105973,No
CBS608_78,P01-G06-CBS608x78,Mucor sp. nov.,CBS 608.78,AAIE57,SAMN41114244,PRJNA1105974 ,No
CBS635_65,P01-H06-CBS635x65,Mucor sp. aff. variicolumellatus,CBS 635.65,AAIE61,SAMN41114268,PRJNA1105984,No
CBS638_74,P01-A07-CBS638x74,Mucor lanceolatus,CBS 638.74,AAIG07,SAMN41114285,PRJNA1105991,No
CBS695_68,P01-B07-CBS695x68,Pilaira anomala,CBS 695.68,AAIG06,SAMN41114286,PRJNA1105989,No
CBS700_71,P01-C07-CBS700x71,Mucor irregularis,CBS 700.71,AAIG05,SAMN41114287,PRJNA1105986,No
